-64.7700000554323	-64.0799997746944
-62.9799997061491	-62.5300001353025
-52.5369429588318	169.13969412446
-45.5697441101074	-72.0657728612423
-43.7824474275112	-68.3786467462778
-43.5235290974379	172.638183832169
-42.8831892460585	147.307979911566
-41.2907711416483	174.768905863166
-39.1170003265142	-72.4409998208284
-38.7293158471584	-72.5756151974201
-38.1415982544422	144.330902248621
-38.0654181540012	-72.3767622560263
-37.911382	145.00874
-37.910621	145.133153
-37.901165	145.05964
-37.894234	145.050794
-37.889722	145.044595
-37.887947	145.0426
-37.873158	144.781418
-37.871623	145.017364
-37.854585	145.008902
-37.836748	144.974147
-37.820038	144.985107
-37.817890	144.999420
-37.8147147595882	144.96098600328
